epoch,accuracy,loss,val_accuracy,val_loss
0,0.3694990277290344,1.324772596359253,0.39769452810287476,1.2850255966186523
1,0.6484915614128113,0.9845401048660278,0.651296854019165,0.9193318486213684
2,0.7954608201980591,0.5833256244659424,0.7031700015068054,0.7908259034156799
3,0.845834493637085,0.41546210646629333,0.6945244669914246,0.778997004032135
4,0.8773872256278992,0.33337315917015076,0.6887608170509338,0.7945336103439331
5,0.9014669060707092,0.2736433744430542,0.6829971075057983,0.8552322387695312
6,0.924993097782135,0.22811265289783478,0.6858789920806885,0.8851562738418579
7,0.9413229823112488,0.18839091062545776,0.6916426420211792,0.9347521662712097
8,0.951287031173706,0.16109474003314972,0.6829971075057983,0.9977216720581055
9,0.9579296708106995,0.14457905292510986,0.680115282535553,1.0458760261535645
10,0.9598671197891235,0.1268206685781479,0.6916426420211792,1.0994691848754883
11,0.9656794667243958,0.11548641324043274,0.6887608170509338,1.1278936862945557
12,0.9681705236434937,0.1046123206615448,0.6887608170509338,1.179940938949585
13,0.9703847169876099,0.09939253330230713,0.6974063515663147,1.216375470161438
14,0.9745364189147949,0.08726821094751358,0.6599423885345459,1.3168014287948608
15,0.972045361995697,0.09160122275352478,0.680115282535553,1.268907904624939
16,0.975089967250824,0.08097642660140991,0.6772334575653076,1.3103364706039429
17,0.975643515586853,0.07886852324008942,0.6974063515663147,1.3305346965789795
18,0.9753667116165161,0.07669475674629211,0.6714697480201721,1.373340129852295
19,0.976473867893219,0.07348278164863586,0.6628242135047913,1.4602186679840088
20,0.9784113168716431,0.0724804475903511,0.6743515729904175,1.4574774503707886
21,0.9784113168716431,0.06919565051794052,0.680115282535553,1.4137816429138184
22,0.9745364189147949,0.07195987552404404,0.6714697480201721,1.4820468425750732
23,0.9761970639228821,0.06811688840389252,0.6772334575653076,1.4754644632339478
24,0.9781345129013062,0.06220622360706329,0.6685879230499268,1.5549818277359009
